Date,Block,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,hour,day,month,year,Species_lb,Address_lb
2007-05-29,41,41.95469,-87.800991,9,1,0,0,29,5,2007,2,72
2007-05-29,41,41.95469,-87.800991,9,1,0,0,29,5,2007,3,72
2007-05-29,62,41.994991,-87.769279,9,1,0,0,29,5,2007,3,103
2007-05-29,79,41.974089,-87.824812,8,1,0,0,29,5,2007,2,123
2007-05-29,79,41.974089,-87.824812,8,4,0,0,29,5,2007,3,123
2007-05-29,15,41.9216,-87.666455,8,2,0,0,29,5,2007,3,27
2007-05-29,25,41.891118,-87.65449100000001,8,1,0,0,29,5,2007,3,48
2007-05-29,11,41.867108,-87.654224,8,1,0,0,29,5,2007,2,17
2007-05-29,11,41.867108,-87.654224,8,2,0,0,29,5,2007,3,17
2007-05-29,11,41.896282,-87.655232,8,1,0,0,29,5,2007,3,16
2007-05-29,21,41.919343,-87.694259,8,1,0,0,29,5,2007,2,37
2007-05-29,22,41.921965,-87.632085,8,2,0,0,29,5,2007,2,39
2007-05-29,22,41.921965,-87.632085,8,3,0,0,29,5,2007,3,39
2007-05-29,22,41.688324,-87.676709,8,1,0,0,29,5,2007,2,40
2007-05-29,22,41.688324,-87.676709,8,1,0,0,29,5,2007,3,40
2007-05-29,11,41.862292,-87.64886,8,1,0,0,29,5,2007,3,13
2007-05-29,17,41.720848,-87.666014,9,3,0,0,29,5,2007,3,30
2007-05-29,22,41.731922,-87.677512,8,5,0,0,29,5,2007,3,43
2007-05-29,22,41.731922,-87.677512,8,1,0,0,29,5,2007,1,43
2007-05-29,53,41.891126,-87.61156,5,1,0,0,29,5,2007,2,91
2007-05-29,53,41.891126,-87.61156,5,2,0,0,29,5,2007,3,91
2007-05-29,65,41.999128999999996,-87.795585,8,1,0,0,29,5,2007,2,109
2007-05-29,75,42.01743,-87.68776899999999,8,1,0,0,29,5,2007,2,120
2007-05-29,15,41.907645,-87.760886,8,1,0,0,29,5,2007,3,25
2007-05-29,89,41.732984,-87.649642,8,1,0,0,29,5,2007,3,129
2007-06-05,41,41.95469,-87.800991,9,3,0,0,5,6,2007,2,72
2007-06-05,41,41.95469,-87.800991,9,5,0,0,5,6,2007,3,72
2007-06-05,41,41.95469,-87.800991,9,1,0,0,5,6,2007,1,72
2007-06-05,79,41.974089,-87.824812,8,1,0,0,5,6,2007,2,123
2007-06-05,79,41.974089,-87.824812,8,2,0,0,5,6,2007,3,123
2007-06-05,15,41.9216,-87.666455,8,1,0,0,5,6,2007,2,27
2007-06-05,15,41.9216,-87.666455,8,2,0,0,5,6,2007,3,27
2007-06-05,15,41.9216,-87.666455,8,1,0,0,5,6,2007,1,27
2007-06-05,25,41.891118,-87.65449100000001,8,1,0,0,5,6,2007,3,48
2007-06-05,11,41.867108,-87.654224,8,1,0,0,5,6,2007,2,17
2007-06-05,11,41.867108,-87.654224,8,1,0,0,5,6,2007,3,17
2007-06-05,11,41.867108,-87.654224,8,2,0,0,5,6,2007,1,17
2007-06-05,11,41.896282,-87.655232,8,2,0,0,5,6,2007,3,16
2007-06-05,21,41.919343,-87.694259,8,1,0,0,5,6,2007,2,37
2007-06-05,21,41.919343,-87.694259,8,1,0,0,5,6,2007,3,37
2007-06-05,22,41.921965,-87.632085,8,3,0,0,5,6,2007,3,39
2007-06-05,22,41.688324,-87.676709,8,4,0,0,5,6,2007,3,40
2007-06-05,17,41.720848,-87.666014,9,2,0,0,5,6,2007,2,30
2007-06-05,22,41.731922,-87.677512,8,1,0,0,5,6,2007,2,43
2007-06-05,22,41.731922,-87.677512,8,1,0,0,5,6,2007,3,43
2007-06-05,22,41.731922,-87.677512,8,1,0,0,5,6,2007,1,43
2007-06-05,65,41.999128999999996,-87.795585,8,2,0,0,5,6,2007,2,109
2007-06-05,65,41.999128999999996,-87.795585,8,9,0,0,5,6,2007,3,109
2007-06-05,15,41.907645,-87.760886,8,3,0,0,5,6,2007,3,25
2007-06-05,89,41.732984,-87.649642,8,1,0,0,5,6,2007,3,129
2007-06-05,91,41.981964000000005,-87.812827,8,2,0,0,5,6,2007,3,132
2007-06-05,36,41.944869,-87.832763,8,1,0,0,5,6,2007,3,60
2007-06-05,72,42.011601,-87.81150600000001,8,1,0,0,5,6,2007,3,118
2007-06-05,38,41.94983,-87.69845699999999,9,1,0,0,5,6,2007,3,65
2007-06-05,49,41.979243,-87.750938,9,1,0,0,5,6,2007,3,82
2007-06-05,58,41.986921,-87.689778,9,2,0,0,5,6,2007,3,96
2007-06-05,50,41.801497999999995,-87.763416,9,1,0,0,5,6,2007,2,84
2007-06-05,14,41.906638,-87.701431,9,3,0,0,5,6,2007,3,24
2007-06-05,10,41.723195000000004,-87.64997,5,1,0,0,5,6,2007,3,5
